"S.No,Open,High,Low,Close,Adj Close,Volume"
"472,11240,11260,10980,11120,8626.864258,23985000"
"473,11060,11100,10880,11040,8564.796875,24360000"
"474,11040,11120,10980,10980,8518.253906,18915000"
"475,10840,10840,10720,10800,8378.607422,18275000"
"476,10880,10960,10660,10820,8394.123047,14915000"
"477,10680,10920,10680,10880,8440.672852,12205000"
"478,10980,11040,10940,10980,8518.253906,11970000"
"479,10980,11140,10960,11080,8595.833984,12190000"
"480,11160,11260,11100,11220,8704.445313,10920000"
"481,11260,11520,11260,11380,8828.572266,19050000"
"482,11520,11640,11520,11580,8983.728516,17565000"
"483,11700,11860,11600,11740,9107.859375,34625000"
"484,11700,11820,11660,11780,9138.889648,13105000"
"485,11880,12000,11780,11780,9138.889648,20070000"
"486,11800,12200,11780,12120,9402.661133,34885000"
"487,12100,12300,12040,12260,9511.271484,25585000"
"488,12100,12380,12080,12140,9418.173828,29035000"
"489,12080,12120,11760,11860,9200.956055,30625000"
"490,11860,11860,11860,11860,9200.956055,0"
"491,12000,12060,11840,11860,9200.956055,28045000"
"492,11920,12120,11900,12020,9325.079102,19085000"
"493,11860,12000,11840,12000,9309.5625,16000000"
"494,11840,11980,11660,11700,9076.826172,18675000"
"495,11720,12000,11720,11940,9263.016602,21895000"
"496,11960,11980,11800,11860,9200.956055,15910000"
"497,11800,12000,11740,11960,9278.533203,13505000"
"498,11880,11980,11800,11860,9200.956055,18509700"
"499,11880,12000,11760,11760,9123.375977,21192950"
"500,11760,11760,11760,11760,9123.375977,0"
"501,11800,12140,11800,12060,9356.114258,26986050"
"502,12080,12280,11960,12020,9325.079102,21874300"
"503,11900,11900,11700,11740,9107.859375,20716650"
"504,11560,11760,11520,11660,9045.794922,25602800"
"505,11680,11940,11660,11860,9200.956055,15080150"
"506,11760,11980,11740,11960,9278.533203,10695550"
"507,11860,11880,11540,11560,8968.214844,26597200"
"508,11420,11480,11160,11300,8766.505859,36035800"
"509,11300,11440,11200,11300,8766.505859,31305500"
"510,11200,11380,11200,11260,8735.475586,17525000"
"511,11280,11380,11260,11320,8782.021484,17588650"
"512,11200,11220,11000,11040,8564.796875,18547750"
"513,11200,11220,11040,11120,8626.864258,17849800"
"514,11000,11320,10980,11280,8750.991211,20033250"
"515,11320,11420,11220,11320,8782.021484,16487150"
"516,11440,11560,11280,11300,8766.505859,18269150"
"517,11240,11320,11180,11260,8735.475586,15002350"
"518,11260,11360,11120,11160,8657.895508,19331000"
"519,10980,11020,10900,10920,8471.704102,21614800"
"520,10980,11100,10960,11060,8580.31543,19203500"
"521,11200,11360,11180,11300,8766.505859,29155950"
"522,11280,11600,11280,11500,8921.666992,15716000"
"523,11760,11840,11700,11740,9107.859375,22394000"
"524,11940,12000,11860,11980,9294.051758,24807150"
"525,12040,12060,11820,11960,9278.533203,12834600"
"526,12000,12060,11940,12040,9340.597656,12065550"
"527,12020,12140,11920,12000,9309.5625,14940450"
"528,12020,12140,11980,12100,9387.143555,17080450"
"529,12340,12480,12280,12360,9588.851563,29524650"
"530,12420,12580,12320,12520,9712.982422,20931600"
"531,12520,12580,12220,12400,9619.883789,14063750"
"532,12320,12600,12320,12600,9775.043945,14038850"
"533,12540,12560,12380,12480,9681.948242,12542600"
"534,12500,12600,12380,12520,9712.982422,14163300"
"535,12640,12640,12240,12360,9588.851563,24063600"
